"Source:","C:\Users\HP\Downloads\Thays Nivar\Thays Nivar\Thays Nivar.kicad_sch"
"Date:","18/10/2024 18:33:11"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","AE1","Antenna","Device:Antenna","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~",""
"2","1","C1","1nF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"3","1","C2","33nF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"4","1","C3","10nF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"5","2","C4, C5","22pF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"6","1","C6","2.2nF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"7","1","C7","1.5pF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"8","1","C8","1.0pF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"9","1","C9","4.7pF","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"10","2","C10, C11","Cx","Device:C_Small","Capacitor_SMD:C_01005_0402Metric","~",""
"11","1","J1","Conn_01x08_Pin","Connector:Conn_01x08_Pin","Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical","~",""
"12","1","L1","8.2nH","Device:L","Inductor_SMD:L_0402_1005Metric","~",""
"13","1","L2","2.7nH","Device:L","Inductor_SMD:L_0402_1005Metric","~",""
"14","1","L3","3.9nH","Device:L","Inductor_SMD:L_0402_1005Metric","~",""
"15","1","L4","Lx","Device:L","Inductor_SMD:L_0402_1005Metric","~",""
"16","1","R1","22k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~",""
"17","1","R2","10M","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~",""
"18","1","U1","NRF24L01","RF:NRF24L01","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf",""
"19","1","Y1","16MHz","Device:Crystal","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~",""
